Date,holding
1996-10-25,"[('AXAS', 8.5, 0), ('AXDX', 9.5, 0)]"
1996-11-01,"[('AXAS', 8.5, 0), ('AXDX', 7.375999927520752, 0)]"
1996-11-08,"[('AXAS', 8.25, 0), ('AXDX', 8.0, 0)]"
1996-11-15,"[('AXAS', 7.75, 0), ('AXDX', 8.12399959564209, 0)]"
1996-11-22,"[('AXAS', 7.625, 0), ('AXDX', 7.25, 0)]"
1996-11-29,"[('AXAS', 7.75, 0), ('AXDX', 8.062999725341797, 0)]"
1996-12-06,"[('AXAS', 7.375, 0), ('AXDX', 8.0, 0)]"
1996-12-13,"[('AXAS', 7.75, 0), ('AXDX', 10.0, 0)]"
1996-12-20,"[('AXAS', 9.875, 0), ('AXDX', 10.375, 0)]"
1996-12-27,"[('AXAS', 10.0, 0), ('AXDX', 21.5, 0)]"
1997-01-03,"[('AXAS', 9.75, 0), ('AXDX', 19.625, 0)]"
1997-01-10,"[('AXAS', 11.75, 0), ('AXDX', 15.5, 0)]"
1997-01-17,"[('AXAS', 13.625, 0), ('AXDX', 17.25, 0)]"
1997-01-24,"[('AXAS', 12.75, 0), ('AXDX', 16.625, 0)]"
1997-01-31,"[('AXAS', 13.375, 0), ('AXDX', 15.625, 0)]"
1997-02-07,"[('AXAS', 12.5, 0), ('AXDX', 14.75, 0)]"
1997-02-14,"[('AXAS', 11.0, 0), ('AXDX', 13.593999862670898, 0)]"
1997-02-21,"[('AXAS', 11.5, 0), ('AXDX', 16.0, 0)]"
1997-02-28,"[('AXAS', 11.375, 0), ('AXDX', 15.125, 0)]"
1997-03-07,"[('AXAS', 11.0, 0), ('AXDX', 14.625, 0)]"
1997-03-14,"[('AXAS', 11.25, 0), ('AXDX', 15.625, 0)]"
1997-03-21,"[('AXAS', 10.75, 0), ('AXDX', 13.812999725341797, 0)]"
1997-03-28,"[('AXAS', 10.75, 0), ('AXDX', 15.25, 0)]"
1997-04-04,"[('AXAS', 10.0, -1), ('AXDX', 13.25, 0)]"
1997-04-11,"[('AXDX', 12.437999725341797, -1)]"
1997-04-18,[]
1997-04-25,[]
1997-05-02,[]
1997-05-09,[]
1997-05-16,[]
1997-05-23,[]
1997-05-30,[]
1997-06-06,[]
1997-06-13,[]
1997-06-20,[]
1997-06-27,[]
1997-07-04,[]
1997-07-11,[]
1997-07-18,[]
1997-07-25,[]
1997-08-01,[]
1997-08-08,[]
1997-08-15,[]
1997-08-22,[]
1997-08-29,[]
1997-09-05,[]
1997-09-12,[]
1997-09-19,[]
1997-09-26,[]
1997-10-03,[]
1997-10-10,"[('ABMD', 10.75, 0)]"
1997-10-17,"[('ABMD', 10.875, 0)]"
1997-10-24,"[('ABMD', 10.125, 0)]"
1997-10-31,"[('ABMD', 9.5, 0)]"
1997-11-07,"[('ABMD', 9.625, 0)]"
1997-11-14,"[('ABMD', 9.0, 0)]"
1997-11-21,"[('ABMD', 9.0, 0)]"
1997-11-28,"[('ABMD', 8.5, -1)]"
1997-12-05,[]
1997-12-12,[]
1997-12-19,[]
1997-12-26,[]
1998-01-02,[]
1998-01-09,[]
1998-01-16,[]
1998-01-23,[]
1998-01-30,[]
1998-02-06,[]
1998-02-13,[]
1998-02-20,[]
1998-02-27,[]
1998-03-06,[]
1998-03-13,[]
1998-03-20,[]
1998-03-27,[]
1998-04-03,[]
1998-04-10,[]
1998-04-17,[]
1998-04-24,[]
1998-05-01,[]
1998-05-08,[]
1998-05-15,[]
1998-05-22,[]
1998-05-29,[]
1998-06-05,[]
1998-06-12,[]
1998-06-19,[]
1998-06-26,[]
1998-07-03,[]
1998-07-10,[]
1998-07-17,[]
1998-07-24,[]
1998-07-31,[]
1998-08-07,[]
1998-08-14,[]
1998-08-21,[]
1998-08-28,[]
1998-09-04,[]
1998-09-11,[]
1998-09-18,[]
1998-09-25,[]
1998-10-02,[]
1998-10-09,[]
1998-10-16,[]
1998-10-23,[]
1998-10-30,[]
1998-11-06,[]
1998-11-13,[]
1998-11-20,[]
1998-11-27,[]
1998-12-04,[]
1998-12-11,[]
1998-12-18,[]
1998-12-25,[]
1999-01-01,[]
1999-01-08,[]
1999-01-15,[]
1999-01-22,[]
1999-01-29,[]
1999-02-05,[]
1999-02-12,[]
1999-02-19,[]
1999-02-26,[]
1999-03-05,[]
1999-03-12,[]
1999-03-19,[]
1999-03-26,[]
1999-04-02,[]
1999-04-09,[]
1999-04-16,[]
1999-04-23,[]
1999-04-30,[]
1999-05-07,"[('ABMD', 8.156999588012695, 0)]"
1999-05-14,"[('ABMD', 8.0, 0)]"
1999-05-21,"[('ABMD', 8.187999725341797, 0)]"
1999-05-28,"[('ABMD', 8.0, 0)]"
1999-06-04,"[('ABMD', 7.657000064849853, 0)]"
1999-06-11,"[('ABMD', 7.75, 0)]"
1999-06-18,"[('ABMD', 7.25, 0)]"
1999-06-25,"[('ABMD', 6.875, 0)]"
1999-07-02,"[('ABMD', 6.688000202178955, 0)]"
1999-07-09,"[('ABMD', 7.125, 0)]"
1999-07-16,"[('ABMD', 7.625, 0)]"
1999-07-23,"[('ABMD', 8.187999725341797, 0)]"
1999-07-30,"[('ABMD', 7.625, 0)]"
1999-08-06,"[('ABMD', 7.282000064849853, 0)]"
1999-08-13,"[('ABAX', 3.687999963760376, 0), ('ABMD', 7.0320000648498535, -1)]"
1999-08-20,"[('ABAX', 3.75, 0)]"
1999-08-27,"[('ABAX', 4.125, 0)]"
1999-09-03,"[('ABAX', 4.25, 0)]"
1999-09-10,"[('ABAX', 4.125, 0)]"
1999-09-17,"[('ABAX', 4.125, 0)]"
1999-09-24,"[('ABAX', 4.125, 0)]"
1999-10-01,"[('ABAX', 4.75, 0)]"
1999-10-08,"[('ABAX', 5.5, 0)]"
1999-10-15,"[('ABAX', 5.0, 0)]"
1999-10-22,"[('ABAX', 4.875, 0)]"
1999-10-29,"[('ABAX', 4.906000137329102, 0)]"
1999-11-05,"[('ABAX', 4.968999862670898, 0)]"
1999-11-12,"[('ABAX', 4.6875, 0), ('ABMD', 15.562999725341797, 0)]"
1999-11-19,"[('ABAX', 4.875, 0), ('ABMD', 14.5, 0)]"
1999-11-26,"[('ABAX', 4.75, 0), ('ABMD', 14.375, 0)]"
1999-12-03,"[('ABAX', 4.75, 0), ('ABMD', 15.281999588012695, 0)]"
1999-12-10,"[('ABAX', 4.438000202178955, 0), ('ABMD', 22.25, 0)]"
1999-12-17,"[('ABAX', 4.813000202178955, 0), ('ABMD', 26.75, 0)]"
1999-12-24,"[('ABAX', 6.375, 0), ('ABMD', 20.875, 0)]"
1999-12-31,"[('ABAX', 7.75, 0), ('ABMD', 18.375, 0)]"
2000-01-07,"[('EGHT', 8.0, 0), ('ABAX', 7.188000202178955, 0), ('ABMD', 17.937999725341797, 0)]"
2000-01-14,"[('EGHT', 7.25, 0), ('ABAX', 7.375, 0), ('ABMD', 21.375, 0)]"
2000-01-21,"[('EGHT', 9.5, 0), ('ABAX', 8.875, 0), ('ABMD', 29.4379997253418, 0)]"
2000-01-28,"[('DDD', 3.3333330154418945, 0), ('EGHT', 11.125, 0), ('ABAX', 8.5, 0), ('ABMD', 29.4379997253418, 0)]"
2000-02-04,"[('DDD', 3.375, 0), ('EGHT', 11.687999725341797, 0), ('ABAX', 8.0, 0), ('ABMD', 27.5629997253418, 0)]"
2000-02-11,"[('DDD', 3.25, 0), ('EGHT', 14.5, 0), ('ABAX', 7.813000202178955, 0), ('ABMD', 29.5, 0)]"
2000-02-18,"[('DDD', 3.25, 0), ('EGHT', 18.0, 0), ('ABAX', 7.75, 0), ('ABMD', 40.75, 0)]"
2000-02-25,"[('DDD', 3.22933292388916, 0), ('EGHT', 20.0, 0), ('ABAX', 7.875, 0), ('ABMD', 37.625, 0)]"
2000-03-03,"[('DDD', 4.239665985107422, 0), ('EGHT', 28.625, 0), ('ABAX', 10.0, 0), ('ABMD', 33.875, 0)]"
2000-03-10,"[('DDD', 3.593666076660156, 0), ('EGHT', 31.625, 0), ('ABAX', 9.312999725341797, 0), ('ABMD', 30.75, 0)]"
2000-03-17,"[('DDD', 3.791666030883789, 0), ('EGHT', 28.5, 0), ('ABAX', 8.375, 0), ('ABMD', 25.75, 0)]"
2000-03-24,"[('DDD', 3.604166030883789, 0), ('EGHT', 28.0, 0), ('ABAX', 8.5, 0), ('ABMD', 24.0629997253418, 0)]"
2000-03-31,"[('DDD', 3.4583330154418945, 0), ('EGHT', 29.625, 0), ('ABAX', 8.25, 0), ('ABMD', 20.125, -1)]"
2000-04-07,"[('DDD', 3.4583330154418945, 0), ('EGHT', 22.0, 0), ('ABAX', 7.75, 0)]"
2000-04-14,"[('DDD', 2.875, -1), ('EGHT', 12.062999725341797, -1), ('ABAX', 7.25, 0)]"
2000-04-21,"[('ABAX', 7.0, -1)]"
2000-04-28,[]
2000-05-05,[]
2000-05-12,[]
2000-05-19,[]
2000-05-26,[]
2000-06-02,[]
2000-06-09,"[('DDD', 4.916666030883789, 0)]"
2000-06-16,"[('DDD', 4.895999908447266, 0)]"
2000-06-23,"[('DDD', 5.020999908447266, 0)]"
2000-06-30,"[('DDD', 6.333333015441895, 0)]"
2000-07-07,"[('DDD', 6.458333015441895, 0)]"
2000-07-14,"[('DDD', 6.291666030883789, 0)]"
2000-07-21,"[('DDD', 6.333333015441895, 0)]"
2000-07-28,"[('DDD', 5.666666030883789, 0)]"
2000-08-04,"[('DDD', 6.0625, 0)]"
2000-08-11,"[('DDD', 5.666666030883789, 0), ('AXAS', 2.75, 0)]"
2000-08-18,"[('DDD', 6.22933292388916, 0), ('AXAS', 3.0, 0)]"
2000-08-25,"[('DDD', 6.583333015441895, 0), ('AXAS', 2.937999963760376, 0)]"
2000-09-01,"[('DDD', 6.5, 0), ('AXAS', 4.0, 0)]"
2000-09-08,"[('DDD', 6.395999908447266, 0), ('AXAS', 3.375, 0)]"
2000-09-15,"[('DDD', 6.125, 0), ('AXAS', 4.0, 0)]"
2000-09-22,"[('DDD', 5.791666030883789, 0), ('AXAS', 3.75, 0)]"
2000-09-29,"[('DDD', 6.25, 0), ('AXAS', 3.875, 0)]"
2000-10-06,"[('DDD', 6.083333015441895, 0), ('AXAS', 3.5, 0)]"
2000-10-13,"[('DDD', 5.083333015441895, -1), ('AXAS', 3.687999963760376, 0)]"
2000-10-20,"[('AXAS', 3.5, 0)]"
2000-10-27,"[('AXAS', 3.312999963760376, 0)]"
2000-11-03,"[('AXAS', 3.25, 0)]"
2000-11-10,"[('AXAS', 3.437999963760376, 0)]"
2000-11-17,"[('AXAS', 3.437999963760376, 0)]"
2000-11-24,"[('AXAS', 3.437999963760376, 0)]"
2000-12-01,"[('AXAS', 3.0, 0)]"
2000-12-08,"[('AXAS', 3.375, 0)]"
2000-12-15,"[('AXAS', 3.875, 0)]"
2000-12-22,"[('AXAS', 4.375, 0)]"
2000-12-29,"[('AXAS', 4.375, 0)]"
2001-01-05,"[('AXAS', 4.188000202178955, 0)]"
2001-01-12,"[('AXAS', 3.75, 0)]"
2001-01-19,"[('AXAS', 3.812999963760376, 0)]"
2001-01-26,"[('AXAS', 5.0, 0)]"
2001-02-02,"[('AXAS', 4.829999923706055, 0)]"
2001-02-09,"[('AXAS', 4.940000057220459, 0)]"
2001-02-16,"[('AXAS', 4.929999828338623, 0)]"
2001-02-23,"[('AXAS', 4.699999809265137, 0)]"
2001-03-02,"[('AXAS', 4.5, 0)]"
2001-03-09,"[('AXAS', 5.099999904632568, 0)]"
2001-03-16,"[('AXAS', 5.320000171661377, 0)]"
2001-03-23,"[('AXAS', 4.829999923706055, 0)]"
2001-03-30,"[('AXAS', 5.099999904632568, 0)]"
2001-04-06,"[('AXAS', 4.559999942779541, 0)]"
2001-04-13,"[('AXAS', 4.789999961853027, 0)]"
2001-04-20,"[('FLWS', 7.599999904632568, 0), ('AXAS', 4.300000190734863, -1)]"
2001-04-27,"[('FLWS', 8.199999809265137, 0)]"
2001-05-04,"[('FLWS', 9.050000190734863, 0)]"
2001-05-11,"[('FLWS', 8.899999618530273, 0)]"
2001-05-18,"[('FLWS', 9.40999984741211, 0)]"
2001-05-25,"[('FLWS', 9.890000343322754, 0)]"
2001-06-01,"[('FLWS', 9.850000381469728, 0), ('AXDX', 0.8999999761581421, 0)]"
2001-06-08,"[('FLWS', 10.399999618530272, 0), ('AXDX', 0.8999999761581421, 0)]"
2001-06-15,"[('FLWS', 10.90999984741211, 0), ('AXDX', 1.0399999618530271, 0)]"
2001-06-22,"[('FLWS', 11.670000076293944, 0), ('AXDX', 1.4800000190734863, 0)]"
2001-06-29,"[('FLWS', 14.84000015258789, 0), ('SRCE', 23.198347091674805, 0), ('AXDX', 1.4500000476837158, 0)]"
2001-07-06,"[('FLWS', 13.0, 0), ('SRCE', 17.892560958862305, 0), ('AXDX', 1.5, 0)]"
2001-07-13,"[('FLWS', 13.300000190734863, 0), ('SRCE', 17.190908432006836, -1), ('AXDX', 1.4199999570846558, 0)]"
2001-07-20,"[('FLWS', 13.079999923706056, 0), ('AXDX', 1.5, 0)]"
2001-07-27,"[('FLWS', 12.220000267028809, 0), ('AXDX', 1.4600000381469729, 0)]"
2001-08-03,"[('FLWS', 11.949999809265137, 0), ('AXDX', 1.5099999904632568, 0)]"
2001-08-10,"[('FLWS', 13.050999641418455, 0), ('AXDX', 2.200000047683716, 0)]"
2001-08-17,"[('FLWS', 12.800000190734863, 0), ('AXDX', 1.919999957084656, 0)]"
2001-08-24,"[('FLWS', 12.81999969482422, 0), ('AXDX', 2.3299999237060547, 0)]"
2001-08-31,"[('FLWS', 12.800000190734863, 0), ('AXDX', 2.4800000190734863, 0)]"
2001-09-07,"[('FLWS', 12.800000190734863, 0), ('AXDX', 2.180000066757202, 0)]"
2001-09-14,"[('FLWS', 10.5, -1), ('AXDX', 2.0, 0)]"
2001-09-21,"[('AXDX', 2.0999999046325684, 0)]"
2001-09-28,"[('AXDX', 3.25, 0)]"
2001-10-05,"[('AXDX', 2.789999961853028, 0)]"
2001-10-12,"[('AXDX', 2.950000047683716, 0)]"
2001-10-19,"[('AXDX', 3.2799999713897705, 0)]"
2001-10-26,"[('AXDX', 3.5299999713897705, 0)]"
2001-11-02,"[('AXDX', 3.200000047683716, 0)]"
2001-11-09,"[('AXDX', 3.299999952316284, 0)]"
2001-11-16,"[('AXDX', 3.0999999046325684, 0)]"
2001-11-23,"[('AXDX', 3.0199999809265137, 0)]"
2001-11-30,"[('AXDX', 2.890000104904175, 0)]"
2001-12-07,"[('AXDX', 2.5, 0)]"
2001-12-14,"[('AXDX', 2.150000095367432, -1)]"
2001-12-21,[]
2001-12-28,[]
2002-01-04,[]
2002-01-11,[]
2002-01-18,[]
2002-01-25,[]
2002-02-01,[]
2002-02-08,[]
2002-02-15,[]
2002-02-22,[]
2002-03-01,[]
2002-03-08,[]
2002-03-15,[]
2002-03-22,[]
2002-03-29,[]
2002-04-05,[]
2002-04-12,[]
2002-04-19,[]
2002-04-26,[]
2002-05-03,[]
2002-05-10,[]
2002-05-17,[]
2002-05-24,[]
2002-05-31,[]
2002-06-07,[]
2002-06-14,[]
2002-06-21,[]
2002-06-28,[]
2002-07-05,[]
2002-07-12,[]
2002-07-19,[]
2002-07-26,[]
2002-08-02,[]
2002-08-09,[]
2002-08-16,[]
2002-08-23,[]
2002-08-30,[]
2002-09-06,[]
2002-09-13,[]
2002-09-20,[]
2002-09-27,[]
2002-10-04,[]
2002-10-11,[]
2002-10-18,[]
2002-10-25,[]
2002-11-01,[]
2002-11-08,[]
2002-11-15,[]
2002-11-22,[]
2002-11-29,[]
2002-12-06,[]
2002-12-13,[]
2002-12-20,[]
2002-12-27,[]
2003-01-03,[]
2003-01-10,[]
2003-01-17,[]
2003-01-24,[]
2003-01-31,[]
2003-02-07,[]
2003-02-14,[]
2003-02-21,[]
2003-02-28,[]
2003-03-07,[]
2003-03-14,[]
2003-03-21,[]
2003-03-28,[]
2003-04-04,[]
2003-04-11,[]
2003-04-18,[]
2003-04-25,[]
2003-05-02,[]
2003-05-09,[]
2003-05-16,"[('EGHT', 0.5400000214576721, 0)]"
2003-05-23,"[('EGHT', 0.449999988079071, 0)]"
2003-05-30,"[('EGHT', 0.3499999940395355, 0)]"
2003-06-06,"[('EGHT', 0.550000011920929, 0), ('ABMD', 6.260000228881836, 0), ('AXAS', 1.2000000476837158, 0)]"
2003-06-13,"[('EGHT', 0.5799999833106995, 0), ('ABMD', 6.210000038146973, 0), ('AXAS', 1.1200000047683716, 0)]"
2003-06-20,"[('EGHT', 0.4399999976158142, 0), ('ABMD', 5.400000095367432, 0), ('AXAS', 1.090000033378601, 0)]"
2003-06-27,"[('EGHT', 0.5, 0), ('ABMD', 5.504000186920166, 0), ('AXAS', 1.0700000524520874, 0)]"
2003-07-04,"[('EGHT', 0.4099999964237213, -1), ('ABMD', 5.050000190734863, -1), ('AXAS', 1.0499999523162842, 0)]"
2003-07-11,"[('AXAS', 1.0499999523162842, 0)]"
2003-07-18,"[('AXAS', 1.0399999618530271, 0)]"
2003-07-25,"[('ABAX', 7.099999904632568, 0), ('AXAS', 0.8199999928474426, -1)]"
2003-08-01,"[('AIR', 7.829999923706055, 0), ('ABAX', 7.28000020980835, 0)]"
2003-08-08,"[('AIR', 6.75, 0), ('ABAX', 8.380000114440918, 0)]"
2003-08-15,"[('EGHT', 1.059999942779541, 0), ('AIR', 6.949999809265137, 0), ('ABAX', 8.550000190734863, 0)]"
2003-08-22,"[('EGHT', 1.25, 0), ('AIR', 7.510000228881836, 0), ('ABAX', 9.130000114440918, 0)]"
2003-08-29,"[('EGHT', 1.4299999475479126, 0), ('AIR', 8.010000228881836, 0), ('ABAX', 9.229000091552734, 0), ('ACTG', 2.0789999961853027, 0)]"
2003-09-05,"[('EGHT', 1.559999942779541, 0), ('AIR', 8.100000381469727, 0), ('ABAX', 11.449999809265137, 0), ('ACTG', 3.3399999141693115, 0)]"
2003-09-12,"[('EGHT', 1.8799999952316284, 0), ('AIR', 8.369999885559082, 0), ('ABAX', 11.25, 0), ('ACTG', 3.400000095367432, 0)]"
2003-09-19,"[('EGHT', 1.7999999523162842, 0), ('AIR', 8.800000190734863, 0), ('ABAX', 13.0, 0), ('ACTG', 4.900000095367432, 0)]"
2003-09-26,"[('EGHT', 1.5889999866485596, 0), ('AIR', 7.300000190734863, 0), ('ABAX', 13.550000190734863, 0), ('ABMD', 8.343999862670898, 0), ('ACTG', 5.710000038146973, 0)]"
2003-10-03,"[('EGHT', 1.4500000476837158, 0), ('AIR', 9.699999809265137, 0), ('ABAX', 14.260000228881836, 0), ('ABMD', 8.59000015258789, 0), ('ACTG', 5.396999835968018, 0), ('AXDX', 3.799999952316284, 0)]"
2003-10-10,"[('EGHT', 1.649999976158142, 0), ('AIR', 9.399999618530272, 0), ('ABAX', 16.549999237060547, 0), ('ABMD', 8.619999885559082, 0), ('ACTG', 6.099999904632568, 0), ('AXDX', 4.550000190734863, 0)]"
2003-10-17,"[('EGHT', 1.4500000476837158, 0), ('AIR', 9.90999984741211, 0), ('ABAX', 18.32999992370605, 0), ('ABMD', 8.890000343322754, 0), ('ACTG', 7.599999904632568, 0), ('AXDX', 4.400000095367432, 0)]"
2003-10-24,"[('EGHT', 1.5499999523162842, 0), ('AIR', 9.720000267028809, 0), ('ABAX', 15.38599967956543, 0), ('ABMD', 9.050000190734863, 0), ('ACTG', 6.198999881744385, 0), ('AXDX', 4.150000095367432, 0)]"
2003-10-31,"[('EGHT', 2.220000028610229, 0), ('AIR', 10.899999618530272, 0), ('ABAX', 17.34000015258789, 0), ('ABMD', 8.899999618530273, 0), ('ACTG', 6.150000095367432, 0), ('AXDX', 3.5799999237060547, 0)]"
2003-11-07,"[('EGHT', 3.150000095367432, 0), ('AIR', 10.010000228881836, 0), ('ABAX', 17.628999710083008, 0), ('ABMD', 8.300000190734863, 0), ('ACTG', 6.880000114440918, 0), ('AXDX', 2.650000095367432, -1)]"
2003-11-14,"[('EGHT', 3.630000114440918, 0), ('AIR', 9.989999771118164, 0), ('ABAX', 17.584999084472656, 0), ('ABMD', 7.499000072479248, 0), ('ACTG', 6.199999809265137, 0)]"
2003-11-21,"[('EGHT', 3.259999990463257, 0), ('AIR', 9.65999984741211, 0), ('ABAX', 19.040000915527344, 0), ('ABMD', 7.599999904632568, 0), ('ACTG', 5.510000228881836, 0)]"
2003-11-28,"[('EGHT', 7.519999980926514, 0), ('AIR', 10.460000038146973, 0), ('ABAX', 20.239999771118164, 0), ('ABMD', 7.360000133514404, 0), ('ACTG', 5.53000020980835, 0)]"
2003-12-05,"[('EGHT', 5.159999847412109, 0), ('AIR', 10.600000381469728, 0), ('ABAX', 21.5, 0), ('ABMD', 8.100000381469727, 0), ('ACTG', 6.289999961853027, 0)]"
2003-12-12,"[('EGHT', 4.690000057220459, 0), ('AIR', 10.899999618530272, 0), ('ABAX', 18.780000686645508, 0), ('ABMD', 7.538000106811523, 0), ('ACTG', 5.170000076293945, 0)]"
2003-12-19,"[('EGHT', 4.800000190734863, 0), ('AIR', 12.270000457763672, 0), ('ABAX', 18.09000015258789, 0), ('ABMD', 7.110000133514404, -1), ('ACTG', 5.451000213623047, 0)]"
2003-12-26,"[('EGHT', 4.590000152587891, 0), ('AIR', 15.460000038146973, 0), ('ABAX', 18.0, 0), ('ACTG', 5.380000114440918, 0)]"
2004-01-02,"[('EGHT', 4.519999980926514, 0), ('AIR', 15.300000190734863, 0), ('ABAX', 16.780000686645508, 0), ('ACTG', 5.489999771118164, 0)]"
2004-01-09,"[('DDD', 4.539999961853027, 0), ('EGHT', 4.940000057220459, 0), ('AIR', 15.18000030517578, 0), ('ABAX', 17.149999618530273, 0), ('ACTG', 5.800000190734863, 0)]"
2004-01-16,"[('DDD', 4.5233330726623535, 0), ('EGHT', 5.179999828338623, 0), ('AIR', 15.520000457763672, 0), ('ABAX', 17.93000030517578, 0), ('ACTG', 6.840000152587891, 0)]"
2004-01-23,"[('DDD', 4.483333110809326, 0), ('EGHT', 4.619999885559082, 0), ('AIR', 15.329999923706056, 0), ('ABAX', 20.030000686645508, 0), ('ACTG', 6.440000057220459, 0)]"
2004-01-30,"[('DDD', 3.853332996368408, 0), ('EGHT', 3.9700000286102295, 0), ('AIR', 13.350000381469728, 0), ('ABAX', 19.0, 0), ('AXAS', 3.0899999141693115, 0), ('ACTG', 6.21999979019165, 0)]"
2004-02-06,"[('DDD', 3.623332977294922, 0), ('EGHT', 3.799999952316284, 0), ('AIR', 13.18000030517578, 0), ('ABAX', 17.850000381469727, 0), ('AXAS', 2.720000028610229, 0), ('ACTG', 6.650000095367432, 0)]"
2004-02-13,"[('DDD', 4.25, 0), ('EGHT', 4.25, 0), ('AIR', 12.960000038146973, 0), ('ABAX', 19.059999465942383, 0), ('AXAS', 2.799999952316284, 0), ('ACTG', 6.150000095367432, 0)]"
2004-02-20,"[('DDD', 3.993333101272583, 0), ('EGHT', 3.740000009536743, 0), ('AIR', 12.770000457763672, 0), ('ABAX', 18.790000915527344, 0), ('AXAS', 2.75, 0), ('ACTG', 6.190000057220459, 0)]"
2004-02-27,"[('DDD', 3.4800000190734863, -1), ('EGHT', 3.849999904632568, 0), ('AIR', 12.920000076293944, 0), ('ABAX', 19.020000457763672, 0), ('AXAS', 2.6700000762939453, 0), ('ACTG', 6.829999923706055, 0)]"
2004-03-05,"[('EGHT', 3.900000095367432, 0), ('AIR', 12.75, 0), ('ABAX', 18.5, 0), ('AXAS', 2.869999885559082, 0), ('ACTG', 6.400000095367432, 0)]"
2004-03-12,"[('EGHT', 3.3299999237060547, -1), ('AIR', 12.25, 0), ('ABAX', 19.0, 0), ('AXAS', 2.940000057220459, 0), ('ACTG', 6.119999885559082, 0)]"
2004-03-19,"[('AIR', 12.109999656677246, -1), ('ABAX', 20.350000381469727, 0), ('AXAS', 2.75, 0), ('ACTG', 7.019999980926514, 0)]"
2004-03-26,"[('ABAX', 19.93000030517578, 0), ('AXAS', 2.3299999237060547, 0), ('ACTG', 6.5, 0)]"
2004-04-02,"[('ABAX', 20.25, 0), ('AXAS', 2.5, 0), ('ACTG', 6.78000020980835, 0)]"
