,holding
1999-11-15,"[('AAPL', 0.8253350257873535, 0), ('ABMD', 14.5, 0), ('ADBE', 18.90625, 0), ('CTSH', 1.0651040077209473, 0), ('DISH', 37.6875, 0), ('LRCX', 26.083332061767578, 0), ('NTAP', 28.953125, 0), ('NVDA', 0.8932290077209473, 0), ('ORCL', 19.03125, 0), ('PTC', 63.90625, 0), ('QCOM', 45.8828125, 0), ('QCOM', 45.8828125, 0), ('VRSN', 85.03125, 0)]"
1999-11-22,"[('AAPL', 0.8487719893455505, 0), ('ABMD', 14.375, 0), ('ADBE', 18.453125, -1), ('CTSH', 1.1901040077209473, 0), ('DISH', 36.25, 0), ('EA', 29.1875, 0), ('LRCX', 25.458332061767578, 0), ('NTAP', 32.640625, 0), ('NVDA', 0.796875, 0), ('ORCL', 18.40625, 0), ('PTC', 60.0, 0), ('QCOM', 48.09375, 0), ('QCOM', 48.09375, 0), ('VRSN', 99.0, 0)]"
1999-11-29,"[('AAPL', 1.026785969734192, 0), ('ABMD', 15.28125, 0), ('AMD', 15.75, 0), ('CTSH', 1.3567709922790527, 0), ('CTXS', 39.98944854736328, 0), ('DISH', 37.40625, 0), ('EA', 27.390625, 0), ('GLW', 34.75, 0), ('LRCX', 29.083332061767578, 0), ('NLOK', 6.382812976837158, 0), ('NTAP', 34.1875, 0), ('NVDA', 0.7942709922790527, 0), ('ORCL', 19.671875, 0), ('PTC', 72.34375, 0), ('QCOM', 48.0546875, 0), ('QCOM', 48.0546875, 0), ('TECH', 25.703125, 0), ('TTWO', 9.25, 0), ('VRSN', 102.96875, 0)]"
1999-12-06,"[('AAPL', 0.919642984867096, 0), ('ABMD', 22.25, 0), ('AMD', 14.625, 0), ('AMZN', 106.6875, 0), ('CTSH', 1.640625, 0), ('CTXS', 43.69724655151367, 0), ('DISH', 45.75, 0), ('EA', 28.546875, 0), ('GLW', 39.0, 0), ('LRCX', 29.125, 0), ('NLOK', 7.289062976837158, 0), ('NTAP', 38.46875, 0), ('NVDA', 0.7903649806976318, 0), ('ORCL', 21.15625, 0), ('PTC', 76.875, 0), ('QCOM', 48.9375, 0), ('QCOM', 48.9375, 0), ('TECH', 24.46875, 0), ('TTWO', 10.875, 0), ('VRSN', 124.5, 0)]"
1999-12-13,"[('AAPL', 0.892857015132904, 0), ('ABMD', 26.75, 0), ('AMD', 14.40625, 0), ('AMD', 14.40625, 0), ('AMZN', 94.0625, 0), ('CTSH', 1.5325520038604736, 0), ('CTXS', 49.24649429321289, 0), ('DISH', 43.875, 0), ('EA', 20.375, -1), ('GLW', 37.5, 0), ('LRCX', 29.854167938232422, 0), ('NLOK', 6.953125, 0), ('NTAP', 36.171875, 0), ('NVDA', 0.7838540077209473, 0), ('ORCL', 22.671875, 0), ('PTC', 76.25, 0), ('QCOM', 56.875, 0), ('QCOM', 56.875, 0), ('TECH', 24.4375, 0), ('TTWO', 9.916666984558105, 0), ('VRSN', 130.9375, 0)]"
1999-12-20,"[('AAPL', 0.924107015132904, 0), ('ABMD', 20.875, 0), ('AMD', 14.3125, 0), ('AMD', 14.3125, 0), ('AMD', 14.3125, 0), ('AMZN', 90.0, 0), ('AMZN', 90.0, 0), ('BIIB', 31.770832061767578, 0), ('CTSH', 2.2760419845581055, 0), ('CTXS', 48.922996520996094, 0), ('DISH', 47.25, 0), ('GLW', 41.02083206176758, 0), ('INCY', 25.78125, 0), ('LRCX', 36.08333206176758, 0), ('NLOK', 7.96875, 0), ('NTAP', 42.25, 0), ('NVDA', 0.9661459922790527, 0), ('ORCL', 26.671875, 0), ('PTC', 66.875, 0), ('QCOM', 58.3125, 0), ('QCOM', 58.3125, 0), ('TECH', 25.6875, 0), ('TRMB', 3.625, 0), ('TTWO', 9.666666984558105, 0), ('VRSN', 174.25, 0)]"
1999-12-27,"[('AAPL', 0.9179689884185791, 0), ('ABMD', 18.375, 0), ('AMD', 14.46875, 0), ('AMD', 14.46875, 0), ('AMD', 14.46875, 0), ('AMZN', 76.125, -1), ('AMZN', 76.125, -1), ('BIIB', 32.75, 0), ('CPRT', 3.625, 0), ('CTSH', 2.277343988418579, 0), ('CTXS', 48.9727668762207, 0), ('DISH', 48.75, 0), ('GLW', 42.97916793823242, 0), ('INCY', 30.0, 0), ('LRCX', 37.1875, 0), ('NLOK', 7.328125, 0), ('NTAP', 41.53125, 0), ('NVDA', 0.9778649806976318, 0), ('ORCL', 28.015625, 0), ('PTC', 67.65625, 0), ('QCOM', 88.0625, 0), ('QCOM', 88.0625, 0), ('REGN', 12.75, 0), ('TECH', 27.53125, 0), ('TRMB', 3.6041669845581055, 0), ('TTWO', 8.625, -1), ('VRSN', 190.9375, 0)]"
2000-01-03,"[('AAPL', 0.888392984867096, 0), ('ABMD', 17.9375, 0), ('ADI', 43.4375, 0), ('AMD', 16.25, 0), ('AMD', 16.25, 0), ('AMGN', 68.0, 0), ('BIIB', 36.10416793823242, 0), ('CPRT', 2.9270830154418945, -1), ('CTSH', 1.9583330154418945, 0), ('CTXS', 44.443782806396484, 0), ('DISH', 42.6875, -1), ('GLW', 38.95833206176758, 0), ('INCY', 52.1875, 0), ('INTU', 36.78125, 0), ('LRCX', 35.58333206176758, 0), ('NLOK', 6.484375, -1), ('NTAP', 42.5, 0), ('NVDA', 0.8723959922790527, 0), ('ORCL', 25.84375, 0), ('PTC', 48.28125, -1), ('QCOM', 75.0, 0), ('QCOM', 75.0, 0), ('REGN', 13.0, 0), ('TECH', 25.984375, 0), ('TRMB', 3.8541669845581055, 0), ('VRSN', 169.828125, 0)]"
2000-01-10,"[('AAPL', 0.896763026714325, 0), ('ABMD', 21.375, 0), ('ADI', 50.6875, 0), ('AMAT', 33.90625, 0), ('AMD', 20.1875, 0), ('AMD', 20.1875, 0), ('AMGN', 68.3125, 0), ('BIIB', 38.5, 0), ('CTSH', 1.9010419845581055, 0), ('CTXS', 53.97455978393555, 0), ('GLW', 37.33333206176758, -1), ('INCY', 65.90625, 0), ('INTU', 40.6875, 0), ('LRCX', 43.25, 0), ('NTAP', 46.84375, 0), ('NVDA', 0.9153649806976318, 0), ('ORCL', 26.703125, 0), ('QCOM', 70.21875, 0), ('QCOM', 70.21875, 0), ('REGN', 14.5, 0), ('TECH', 33.5625, 0), ('TER', 68.0, 0), ('TRMB', 3.84375, 0), ('VRSN', 183.4375, 0), ('VRTX', 22.0, 0)]"
2000-01-17,"[('AAPL', 0.993861973285675, 0), ('ABMD', 29.4375, 0), ('ADI', 48.3125, 0), ('ADI', 48.3125, 0), ('AMAT', 35.3125, 0), ('AMD', 18.9375, 0), ('AMD', 18.9375, 0), ('AMGN', 74.6875, 0), ('BIIB', 49.25, 0), ('CTSH', 1.7083330154418945, 0), ('CTXS', 59.5486946105957, 0), ('GLW', 54.0, 0), ('INCY', 78.5625, 0), ('INTU', 37.8125, 0), ('LRCX', 46.3125, 0), ('NTAP', 58.5625, 0), ('NVDA', 0.9322919845581055, 0), ('ORCL', 29.84375, 0), ('QCOM', 77.46875, 0), ('QCOM', 77.46875, 0), ('REGN', 14.625, 0), ('TECH', 33.3125, 0), ('TER', 72.375, 0), ('TRMB', 4.0104169845581055, 0), ('VRSN', 207.9375, 0), ('VRTX', 24.59375, 0)]"
2000-01-24,"[('AAPL', 0.9073659777641296, 0), ('ABMD', 29.4375, 0), ('ADI', 47.75, 0), ('ADI', 47.75, 0), ('ADI', 47.75, 0), ('AMAT', 32.4375, 0), ('AMD', 17.625, 0), ('AMD', 17.625, 0), ('AMGN', 59.6875, -1), ('BIIB', 42.75, 0), ('CTSH', 1.8671879768371582, 0), ('CTXS', 53.700828552246094, 0), ('GLW', 49.0, 0), ('INCY', 64.25, 0), ('INTU', 28.875, -1), ('LRCX', 41.29166793823242, 0), ('NTAP', 49.59375, 0), ('NVDA', 0.7786459922790527, -1), ('ORCL', 23.6875, -1), ('QCOM', 55.28125, 0), ('QCOM', 55.28125, 0), ('REGN', 12.5625, 0), ('TECH', 30.296875, 0), ('TER', 62.875, 0), ('TRMB', 3.4427080154418945, 0), ('VRSN', 164.46875, -1), ('VRTX', 20.859375, 0)]"
2000-01-31,"[('AAPL', 0.9642860293388367, 0), ('ABMD', 27.5625, 0), ('ADI', 55.75, 0), ('ADI', 55.75, 0), ('AMAT', 36.34375, 0), ('AMD', 19.28125, 0), ('AMD', 19.28125, 0), ('BIIB', 36.5, 0), ('CTSH', 2.015625, 0), ('CTXS', 61.14130401611328, 0), ('GLW', 54.95833206176758, 0), ('INCY', 67.5, 0), ('KLAC', 65.9375, 0), ('LRCX', 45.6875, 0), ('NTAP', 63.96875, 0), ('QCOM', 68.71875, 0), ('QCOM', 68.71875, 0), ('REGN', 13.125, 0), ('TECH', 31.4375, 0), ('TER', 72.75, 0), ('TRMB', 3.7083330154418945, 0), ('VRTX', 23.75, 0)]"
2000-02-07,"[('AAPL', 0.970982015132904, 0), ('ABMD', 29.5, 0), ('ADI', 57.3125, 0), ('ADI', 57.3125, 0), ('AMAT', 41.25, 0), ('AMD', 22.75, 0), ('AMD', 22.75, 0), ('BIIB', 39.60416793823242, 0), ('CTSH', 2.7083330154418945, 0), ('CTXS', 70.01264190673828, 0), ('GLW', 55.25, 0), ('INCY', 91.28125, 0), ('JNPR', 107.9375, 0), ('KLAC', 68.5, 0), ('LRCX', 46.72916793823242, 0), ('NTAP', 77.46875, 0), ('NVDA', 1.0416669845581055, 0), ('QCOM', 66.0, 0), ('QCOM', 66.0, 0), ('REGN', 15.75, 0), ('SWKS', 57.90625, 0), ('TECH', 35.28125, 0), ('TER', 75.375, 0), ('TRMB', 3.2708330154418945, 0), ('VRTX', 25.46875, 0)]"
2000-02-14,"[('AAPL', 0.9933040142059326, 0), ('ABMD', 40.75, 0), ('ADI', 67.875, 0), ('ADI', 67.875, 0), ('AMAT', 44.4375, 0), ('AMD', 21.5, 0), ('AMD', 21.5, 0), ('BIIB', 43.95833206176758, 0), ('CTSH', 2.4088540077209473, 0), ('CTXS', 68.8803939819336, 0), ('GLW', 64.4375, 0), ('INCY', 133.46875, 0), ('JNPR', 119.15625, 0), ('KLAC', 68.0, 0), ('LRCX', 46.14583206176758, 0), ('NTAP', 83.625, 0), ('NVDA', 1.4036459922790527, 0), ('QCOM', 67.25, 0), ('QCOM', 67.25, 0), ('REGN', 21.75, 0), ('SWKS', 64.875, 0), ('TECH', 36.96875, 0), ('TER', 77.5, 0), ('TRMB', 3.3333330154418945, 0), ('VRTX', 30.75, 0)]"
2000-02-21,"[('AAPL', 0.9854909777641296, 0), ('ABMD', 37.625, 0), ('ADI', 78.4375, 0), ('ADI', 78.4375, 0), ('ADSK', 12.0, 0), ('AMAT', 43.078125, 0), ('AMD', 20.25, 0), ('AMD', 20.25, 0), ('BIIB', 45.8125, 0), ('CTSH', 2.3541669845581055, 0), ('CTXS', 79.68028259277344, 0), ('GLW', 62.60416793823242, 0), ('INCY', 140.25, 0), ('JNPR', 116.375, 0), ('KLAC', 68.625, 0), ('LRCX', 45.83333206176758, 0), ('NLOK', 8.96875, 0), ('NTAP', 96.46875, 0), ('NVDA', 1.2747399806976318, 0), ('ORCL', 35.3125, 0), ('QCOM', 66.78125, 0), ('QCOM', 66.78125, 0), ('REGN', 45.875, 0), ('SWKS', 74.734375, 0), ('TECH', 38.0625, 0), ('TER', 84.875, 0), ('TRMB', 3.8854169845581055, 0), ('VRTX', 30.5, 0)]"
2000-02-28,"[('AAPL', 1.1428569555282593, 0), ('ABMD', 33.875, 0), ('ADI', 83.5, 0), ('ADI', 83.5, 0), ('ADSK', 11.484375, 0), ('AMAT', 47.6875, 0), ('AMD', 20.75, 0), ('AMD', 20.75, 0), ('BIIB', 50.0, 0), ('CTSH', 2.522135019302368, 0), ('CTXS', 84.607421875, 0), ('GLW', 68.41666412353516, 0), ('INCY', 123.0, 0), ('JNPR', 132.21875, 0), ('KLAC', 83.25, 0), ('LRCX', 50.60416793823242, 0), ('MCHP', 14.958333015441895, 0), ('NLOK', 9.0625, 0), ('NTAP', 99.96875, 0), ('NVDA', 1.2265629768371582, 0), ('ORCL', 37.5, 0), ('QCOM', 65.9375, 0), ('QCOM', 65.9375, 0), ('REGN', 50.296875, 0), ('SWKS', 71.6875, 0), ('TECH', 41.78125, 0), ('TER', 88.4375, 0), ('TRMB', 4.0833330154418945, 0), ('VRTX', 40.0, 0), ('XLNX', 83.125, 0)]"
2000-03-06,"[('AAPL', 1.1227680444717407, 0), ('ABMD', 30.75, 0), ('ADI', 86.46875, 0), ('ADI', 86.46875, 0), ('ADSK', 13.71875, 0), ('AMAT', 48.265625, 0), ('AMD', 26.0, 0), ('AMD', 26.0, 0), ('BIIB', 43.10416793823242, 0), ('CTSH', 2.5598959922790527, 0), ('CTXS', 85.6028060913086, 0), ('GLW', 63.83333206176758, 0), ('INCY', 101.625, 0), ('JNPR', 141.21875, 0), ('KLAC', 91.125, 0), ('LRCX', 54.14583206176758, 0), ('MCHP', 15.375, 0), ('NLOK', 10.101563453674316, 0), ('NTAP', 118.4375, 0), ('NVDA', 2.4583330154418945, 0), ('ORCL', 40.8125, 0), ('QCOM', 68.0625, 0), ('QCOM', 68.0625, 0), ('REGN', 40.0, 0), ('SWKS', 68.0, 0), ('TECH', 38.5625, 0), ('TER', 89.5625, 0), ('TRMB', 4.9166669845581055, 0), ('VRSN', 239.9375, 0), ('VRTX', 33.03125, 0), ('XLNX', 83.3125, 0)]"
2000-03-13,"[('AAPL', 1.1160709857940674, 0), ('ABMD', 25.75, -1), ('ADI', 77.875, 0), ('ADI', 77.875, 0), ('ADSK', 12.28125, 0), ('AMAT', 47.9296875, 0), ('AMD', 25.0, 0), ('AMD', 25.0, 0), ('BIIB', 39.64583206176758, 0), ('CTSH', 2.34375, 0), ('CTXS', 78.33651733398438, 0), ('GLW', 63.125, 0), ('INCY', 68.4375, 0), ('JNPR', 124.96875, 0), ('KLAC', 80.0, 0), ('LRCX', 49.0, 0), ('MCHP', 14.11111068725586, 0), ('NLOK', 8.921875, 0), ('NTAP', 100.375, 0), ('NVDA', 2.0807290077209473, 0), ('ORCL', 39.90625, 0), ('QCOM', 68.125, 0), ('QCOM', 68.125, 0), ('REGN', 30.625, 0), ('RMD', 9.125, 0), ('SWKS', 58.078125, 0), ('TECH', 35.953125, 0), ('TER', 83.0, 0), ('TRMB', 4.4479169845581055, 0), ('VRSN', 202.125, -1), ('VRTX', 30.109375, 0), ('WDC', 7.5, 0), ('XLNX', 75.5, 0)]"
2000-03-20,"[('AAPL', 1.238281011581421, 0), ('ADI', 87.75, 0), ('ADI', 87.75, 0), ('ADSK', 12.4375, 0), ('AMAT', 53.40625, 0), ('AMD', 27.0, 0), ('AMD', 27.0, 0), ('BIIB', 39.66666793823242, 0), ('CTSH', 2.773437976837158, 0), ('CTXS', 78.03790283203125, 0), ('GLW', 71.45833587646484, 0), ('INCY', 53.6875, -1), ('JNPR', 134.5, 0), ('KLAC', 89.3125, 0), ('LRCX', 54.25, 0), ('MCHP', 14.527777671813965, 0), ('NLOK', 9.164063453674316, 0), ('NTAP', 100.0, 0), ('NVDA', 1.941406011581421, 0), ('ORCL', 43.5, 0), ('QCOM', 73.0, 0), ('QCOM', 73.0, 0), ('REGN', 36.0625, 0), ('RMD', 8.882813453674316, -1), ('SWKS', 61.625, 0), ('TECH', 39.1875, 0), ('TER', 91.6875, 0), ('TRMB', 4.125, 0), ('VRTX', 28.875, 0), ('WDC', 8.625, 0), ('XLNX', 82.625, 0)]"
2000-03-27,"[('AAPL', 1.2126120328903198, 0), ('ADI', 80.5, 0), ('ADI', 80.5, 0), ('ADSK', 11.375, 0), ('AMAT', 47.125, 0), ('AMD', 29.5, 0), ('AMD', 29.5, 0), ('BIIB', 32.75, -1), ('CTSH', 2.6041669845581055, 0), ('CTXS', 52.75521469116211, -1), ('GLW', 64.66666412353516, 0), ('JNPR', 131.78125, 0), ('KLAC', 84.25, 0), ('LRCX', 45.0625, -1), ('MCHP', 14.61111068725586, 0), ('NLOK', 9.390625, 0), ('NTAP', 82.75, 0), ('NVDA', 1.760090947151184, 0), ('ORCL', 39.03125, 0), ('QCOM', 74.65625, 0), ('QCOM', 74.65625, 0), ('REGN', 29.5625, 0), ('RMD', 8.921875, 0), ('SWKS', 47.5, -1), ('TECH', 34.5, 0), ('TER', 82.0, -1), ('TRMB', 4.2916669845581055, 0), ('VRTX', 23.40625, 0), ('WDC', 7.4375, 0), ('XLNX', 82.8125, 0)]"
2000-04-03,"[('AAPL', 1.176339030265808, 0), ('ADBE', 31.25, 0), ('ADI', 79.0, 0), ('ADI', 79.0, 0), ('ADSK', 11.53125, 0), ('AMAT', 57.4375, 0), ('AMD', 37.75, 0), ('AMD', 37.75, 0), ('APH', 3.707031011581421, 0), ('CTSH', 2.1770830154418945, -1), ('DISH', 72.875, 0), ('GLW', 65.33333587646484, 0), ('JKHY', 19.5, 0), ('JNPR', 134.7109375, 0), ('KLAC', 97.4375, 0), ('LRCX', 55.5625, 0), ('MCHP', 16.166667938232422, 0), ('NLOK', 8.328125, 0), ('NLOK', 8.328125, 0), ('NTAP', 79.9375, 0), ('NVDA', 2.136718988418579, 0), ('ORCL', 43.5625, 0), ('QCOM', 76.125, 0), ('QCOM', 76.125, 0), ('REGN', 27.6875, 0), ('RMD', 8.546875, -1), ('TECH', 34.5625, 0), ('TER', 98.0, 0), ('TRMB', 4.0520830154418945, 0), ('TYL', 8.0, 0), ('VRTX', 27.15625, 0), ('WDC', 7.5625, 0), ('XLNX', 81.9375, 0)]"
2000-04-10,"[('AAPL', 0.9988840222358704, 0), ('ADBE', 24.453125, -1), ('ADI', 58.625, -1), ('ADI', 58.625, -1), ('ADSK', 8.953125, -1), ('AMAT', 40.15625, -1), ('AMD', 33.0, 0), ('AMD', 33.0, 0), ('APH', 2.894531011581421, -1), ('DISH', 42.8125, -1), ('GLW', 48.0, -1), ('JKHY', 15.96875, -1), ('JNPR', 79.03125, -1), ('KLAC', 57.625, -1), ('LRCX', 36.5, -1), ('MCHP', 11.694443702697754, -1), ('NLOK', 6.570312976837158, -1), ('NLOK', 6.570312976837158, -1), ('NTAP', 50.375, 0), ('NVDA', 1.4332679510116577, 0), ('ORCL', 31.25, -1), ('QCOM', 52.59375, 0), ('QCOM', 52.59375, 0), ('REGN', 17.4375, 0), ('TECH', 32.5, 0), ('TER', 75.4375, -1), ('TRMB', 3.0729169845581055, -1), ('TYL', 5.5, -1), ('VRTX', 19.6875, 0), ('WDC', 6.0, 0), ('XLNX', 58.125, -1)]"
2000-04-17,"[('AAPL', 1.0613839626312256, 0), ('AMD', 39.125, 0), ('AMD', 39.125, 0), ('DGX', 13.40625, 0), ('NTAP', 56.875, 0), ('NVDA', 1.6796879768371582, 0), ('PENN', 0.7418609857559204, 0), ('QCOM', 54.75, 0), ('QCOM', 54.75, 0), ('REGN', 24.0625, 0), ('RHI', 28.71875, 0), ('TECH', 34.46875, 0), ('VRTX', 23.40625, 0), ('WDC', 6.1875, 0)]"
2000-04-24,"[('AAPL', 1.1077009439468384, 0), ('ADBE', 30.234375, 0), ('AMD', 43.75, 0), ('AMD', 43.75, 0), ('DGX', 14.546875, 0), ('LH', 14.84375, 0), ('NTAP', 73.9375, 0), ('NVDA', 1.8567709922790527, 0), ('PENN', 0.7065340280532837, 0), ('QCOM', 54.21875, 0), ('QCOM', 54.21875, 0), ('REGN', 28.5625, 0), ('RHI', 30.5625, 0), ('TECH', 35.5625, 0), ('VRTX', 26.125, 0), ('WDC', 6.875, 0)]"
